ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),id
0.0957,0.9883,-0.1484,-2.1973,-4.2114,0.4272,0
0.103,0.981,-0.1289,-3.2349,-3.0518,-1.4038,0
0.103,0.981,-0.1289,-3.2349,-3.0518,-1.4038,0
0.103,0.981,-0.1289,-3.2349,-3.0518,-1.4038,0
0.103,0.981,-0.1289,-3.2349,-3.0518,-1.4038,0
0.0952,0.9814,-0.1396,0.0,-2.8687,-2.6245,0
0.0952,0.9814,-0.1396,0.0,-2.8687,-2.6245,0
0.0952,0.9814,-0.1396,0.0,-2.8687,-2.6245,0
0.0952,0.9814,-0.1396,0.0,-2.8687,-2.6245,0
0.084,0.9883,-0.1509,0.6104,-0.9766,-2.0142,0
0.084,0.9883,-0.1509,0.6104,-0.9766,-2.0142,0
0.084,0.9883,-0.1509,0.6104,-0.9766,-2.0142,0
0.084,0.9883,-0.1509,0.6104,-0.9766,-2.0142,0
0.0781,0.9814,-0.1606,-1.0376,-1.1597,-1.3428,0
0.0781,0.9814,-0.1606,-1.0376,-1.1597,-1.3428,0
0.0781,0.9814,-0.1606,-1.0376,-1.1597,-1.3428,0
0.0781,0.9814,-0.1606,-1.0376,-1.1597,-1.3428,0
0.0825,0.9653,-0.1519,-3.9673,-2.7466,-1.0376,0
0.0825,0.9653,-0.1519,-3.9673,-2.7466,-1.0376,0
0.0825,0.9653,-0.1519,-3.9673,-2.7466,-1.0376,0
0.0825,0.9653,-0.1519,-3.9673,-2.7466,-1.0376,0
0.0947,0.9526,-0.1328,-4.5776,-4.8828,-1.4038,0
0.0947,0.9526,-0.1328,-4.5776,-4.8828,-1.4038,0
0.0947,0.9526,-0.1328,-4.5776,-4.8828,-1.4038,0
0.0947,0.9526,-0.1328,-4.5776,-4.8828,-1.4038,0
0.1035,0.959,-0.1211,-0.7324,-3.418,-2.7466,0
0.1035,0.959,-0.1211,-0.7324,-3.418,-2.7466,0
0.1035,0.959,-0.1211,-0.7324,-3.418,-2.7466,0
0.1035,0.959,-0.1211,-0.7324,-3.418,-2.7466,0
0.1001,0.9746,-0.1416,5.0659,-1.6479,-4.0283,0
0.1001,0.9746,-0.1416,5.0659,-1.6479,-4.0283,0
0.1001,0.9746,-0.1416,5.0659,-1.6479,-4.0283,0
0.1001,0.9746,-0.1416,5.0659,-1.6479,-4.0283,0
0.0908,0.9829,-0.1772,5.249,-1.8311,-3.6621,0
0.0908,0.9829,-0.1772,5.249,-1.8311,-3.6621,0
0.0908,0.9829,-0.1772,5.249,-1.8311,-3.6621,0
0.0908,0.9829,-0.1772,5.249,-1.8311,-3.6621,0
0.085,0.9697,-0.1597,-2.5024,-3.3569,-2.0752,0
0.085,0.9697,-0.1597,-2.5024,-3.3569,-2.0752,0
0.085,0.9697,-0.1597,-2.5024,-3.3569,-2.0752,0
0.085,0.9697,-0.1597,-2.5024,-3.3569,-2.0752,0
0.0991,0.9536,-0.1289,-4.0283,-5.4321,-1.3428,0
0.0991,0.9536,-0.1289,-4.0283,-5.4321,-1.3428,0
0.0991,0.9536,-0.1289,-4.0283,-5.4321,-1.3428,0
0.0991,0.9536,-0.1289,-4.0283,-5.4321,-1.3428,0
0.1177,0.9619,-0.1426,1.2817,-4.7607,-1.6479,0
0.1177,0.9619,-0.1426,1.2817,-4.7607,-1.6479,0
0.1177,0.9619,-0.1426,1.2817,-4.7607,-1.6479,0
0.1177,0.9619,-0.1426,1.2817,-4.7607,-1.6479,0
0.1235,0.9927,-0.1514,5.4321,-3.479,-2.1362,0
0.1235,0.9927,-0.1514,5.4321,-3.479,-2.1362,0
0.1235,0.9927,-0.1514,5.4321,-3.479,-2.1362,0
0.1235,0.9927,-0.1514,5.4321,-3.479,-2.1362,0
0.1016,1.0176,-0.165,5.188,-3.6621,-2.8687,0
0.1016,1.0176,-0.165,5.188,-3.6621,-2.8687,0
0.1016,1.0176,-0.165,5.188,-3.6621,-2.8687,0
0.1016,1.0176,-0.165,5.188,-3.6621,-2.8687,0
0.1011,0.999,-0.1797,-1.0376,-1.5869,-2.6245,0
0.1011,0.999,-0.1797,-1.0376,-1.5869,-2.6245,0
0.1011,0.999,-0.1797,-1.0376,-1.5869,-2.6245,0
0.1011,0.999,-0.1797,-1.0376,-1.5869,-2.6245,0
0.1338,0.9648,-0.1621,-3.6621,0.3052,-1.3428,0
0.1338,0.9648,-0.1621,-3.6621,0.3052,-1.3428,0
0.1338,0.9648,-0.1621,-3.6621,0.3052,-1.3428,0
0.1338,0.9648,-0.1621,-3.6621,0.3052,-1.3428,0
0.1279,0.9668,-0.1528,1.4038,2.5635,-0.4883,0
0.1279,0.9668,-0.1528,1.4038,2.5635,-0.4883,0
0.1279,0.9668,-0.1528,1.4038,2.5635,-0.4883,0
0.1279,0.9668,-0.1528,1.4038,2.5635,-0.4883,0
0.0908,0.9868,-0.1724,3.9063,4.2114,-1.5259,0
0.0908,0.9868,-0.1724,3.9063,4.2114,-1.5259,0
0.0908,0.9868,-0.1724,3.9063,4.2114,-1.5259,0
0.0908,0.9868,-0.1724,3.9063,4.2114,-1.5259,0
0.0688,0.9932,-0.1626,2.5635,0.6714,-2.4414,0
0.0688,0.9932,-0.1626,2.5635,0.6714,-2.4414,0
0.0688,0.9932,-0.1626,2.5635,0.6714,-2.4414,0
0.0688,0.9932,-0.1626,2.5635,0.6714,-2.4414,0
0.0894,0.9849,-0.1523,1.1597,-0.2441,-2.5024,0
0.0894,0.9849,-0.1523,1.1597,-0.2441,-2.5024,0
0.0894,0.9849,-0.1523,1.1597,-0.2441,-2.5024,0
0.0894,0.9849,-0.1523,1.1597,-0.2441,-2.5024,0
0.0967,0.9746,-0.1455,1.1597,3.1128,-3.1738,0
0.0967,0.9746,-0.1455,1.1597,3.1128,-3.1738,0
0.0967,0.9746,-0.1455,1.1597,3.1128,-3.1738,0
0.0967,0.9746,-0.1455,1.1597,3.1128,-3.1738,0
0.1016,0.9673,-0.1753,3.54,2.3804,-2.1973,0
0.1016,0.9673,-0.1753,3.54,2.3804,-2.1973,0
0.1016,0.9673,-0.1753,3.54,2.3804,-2.1973,0
0.1016,0.9673,-0.1753,3.54,2.3804,-2.1973,0
0.0986,0.9863,-0.1602,0.2441,2.1973,-0.4883,0
0.0986,0.9863,-0.1602,0.2441,2.1973,-0.4883,0
0.0986,0.9863,-0.1602,0.2441,2.1973,-0.4883,0
0.0986,0.9863,-0.1602,0.2441,2.1973,-0.4883,0
0.0708,0.9897,-0.1304,-1.2207,4.2725,-1.8921,0
0.0708,0.9897,-0.1304,-1.2207,4.2725,-1.8921,0
0.0708,0.9897,-0.1304,-1.2207,4.2725,-1.8921,0
0.0708,0.9897,-0.1304,-1.2207,4.2725,-1.8921,0
0.061,0.9868,-0.1333,-0.6714,6.6528,-4.6387,0
0.061,0.9868,-0.1333,-0.6714,6.6528,-4.6387,0
0.061,0.9868,-0.1333,-0.6714,6.6528,-4.6387,0
0.061,0.9868,-0.1333,-0.6714,6.6528,-4.6387,0
0.061,0.9868,-0.1333,-0.6714,6.6528,-4.6387,0
0.0757,0.9536,-0.1636,0.4272,2.7466,-2.4414,0
0.0757,0.9536,-0.1636,0.4272,2.7466,-2.4414,0
0.0757,0.9536,-0.1636,0.4272,2.7466,-2.4414,0
0.0757,0.9536,-0.1636,0.4272,2.7466,-2.4414,0
0.0928,0.9634,-0.1558,1.0986,-1.0986,0.9155,0
0.0928,0.9634,-0.1558,1.0986,-1.0986,0.9155,0
0.0928,0.9634,-0.1558,1.0986,-1.0986,0.9155,0
0.0928,0.9634,-0.1558,1.0986,-1.0986,0.9155,0
0.0786,0.9829,-0.1465,-0.4883,0.6104,-0.6104,0
0.0786,0.9829,-0.1465,-0.4883,0.6104,-0.6104,0
0.0786,0.9829,-0.1465,-0.4883,0.6104,-0.6104,0
0.0786,0.9829,-0.1465,-0.4883,0.6104,-0.6104,0
0.0576,0.9878,-0.1499,-0.9766,0.4883,-3.9063,0
0.0576,0.9878,-0.1499,-0.9766,0.4883,-3.9063,0
0.0576,0.9878,-0.1499,-0.9766,0.4883,-3.9063,0
0.0576,0.9878,-0.1499,-0.9766,0.4883,-3.9063,0
0.0688,0.9775,-0.146,-0.5493,-1.0376,-3.1128,0
0.0688,0.9775,-0.146,-0.5493,-1.0376,-3.1128,0
0.0688,0.9775,-0.146,-0.5493,-1.0376,-3.1128,0
0.0688,0.9775,-0.146,-0.5493,-1.0376,-3.1128,0
0.0854,0.9839,-0.145,2.5024,0.9155,-1.1597,0
0.0854,0.9839,-0.145,2.5024,0.9155,-1.1597,0
0.0854,0.9839,-0.145,2.5024,0.9155,-1.1597,0
0.0854,0.9839,-0.145,2.5024,0.9155,-1.1597,0
0.0942,0.9922,-0.1592,0.7935,1.5869,-0.7324,0
0.0942,0.9922,-0.1592,0.7935,1.5869,-0.7324,0
0.0942,0.9922,-0.1592,0.7935,1.5869,-0.7324,0
0.0942,0.9922,-0.1592,0.7935,1.5869,-0.7324,0
0.083,0.9697,-0.1577,-3.7842,-0.7324,-1.0376,0
0.083,0.9697,-0.1577,-3.7842,-0.7324,-1.0376,0
0.083,0.9697,-0.1577,-3.7842,-0.7324,-1.0376,0
0.083,0.9697,-0.1577,-3.7842,-0.7324,-1.0376,0
0.0659,0.9648,-0.1436,-1.3428,0.0,-1.9531,0
0.0659,0.9648,-0.1436,-1.3428,0.0,-1.9531,0
0.0659,0.9648,-0.1436,-1.3428,0.0,-1.9531,0
0.0659,0.9648,-0.1436,-1.3428,0.0,-1.9531,0
0.0747,0.9941,-0.1533,4.2114,0.3052,-2.3804,0
0.0747,0.9941,-0.1533,4.2114,0.3052,-2.3804,0
0.0747,0.9941,-0.1533,4.2114,0.3052,-2.3804,0
0.0747,0.9941,-0.1533,4.2114,0.3052,-2.3804,0
0.0801,1.0,-0.1792,1.5259,1.5869,-1.0376,0
0.0801,1.0,-0.1792,1.5259,1.5869,-1.0376,0
0.0801,1.0,-0.1792,1.5259,1.5869,-1.0376,0
0.0801,1.0,-0.1792,1.5259,1.5869,-1.0376,0
0.0967,0.9785,-0.1714,-5.188,0.061,0.2441,0
0.0967,0.9785,-0.1714,-5.188,0.061,0.2441,0
0.0967,0.9785,-0.1714,-5.188,0.061,0.2441,0
0.0967,0.9785,-0.1714,-5.188,0.061,0.2441,0
0.0903,0.9722,-0.146,-8.728,-0.9766,-0.4272,0
0.0903,0.9722,-0.146,-8.728,-0.9766,-0.4272,0
0.0903,0.9722,-0.146,-8.728,-0.9766,-0.4272,0
0.0903,0.9722,-0.146,-8.728,-0.9766,-0.4272,0
0.0693,0.9829,-0.1333,-5.7983,-1.8311,-2.4414,0
0.0693,0.9829,-0.1333,-5.7983,-1.8311,-2.4414,0
0.0693,0.9829,-0.1333,-5.7983,-1.8311,-2.4414,0
0.0693,0.9829,-0.1333,-5.7983,-1.8311,-2.4414,0
0.0557,0.9902,-0.1226,-2.8687,-3.418,-2.4414,0
0.0557,0.9902,-0.1226,-2.8687,-3.418,-2.4414,0
0.0557,0.9902,-0.1226,-2.8687,-3.418,-2.4414,0
0.0557,0.9902,-0.1226,-2.8687,-3.418,-2.4414,0
0.064,0.9849,-0.1445,1.6479,-2.6245,-1.709,0
0.064,0.9849,-0.1445,1.6479,-2.6245,-1.709,0
0.064,0.9849,-0.1445,1.6479,-2.6245,-1.709,0
0.064,0.9849,-0.1445,1.6479,-2.6245,-1.709,0
0.0845,0.979,-0.168,1.8311,-1.3428,-1.2817,0
0.0845,0.979,-0.168,1.8311,-1.3428,-1.2817,0
0.0845,0.979,-0.168,1.8311,-1.3428,-1.2817,0
0.0845,0.979,-0.168,1.8311,-1.3428,-1.2817,0
0.0737,0.9795,-0.166,-0.3662,-0.1831,-1.1597,0
0.0737,0.9795,-0.166,-0.3662,-0.1831,-1.1597,0
0.0737,0.9795,-0.166,-0.3662,-0.1831,-1.1597,0
0.0737,0.9795,-0.166,-0.3662,-0.1831,-1.1597,0
0.0557,0.981,-0.146,-4.0894,-2.8076,-1.3428,0
0.0557,0.981,-0.146,-4.0894,-2.8076,-1.3428,0
0.0557,0.981,-0.146,-4.0894,-2.8076,-1.3428,0
0.0557,0.981,-0.146,-4.0894,-2.8076,-1.3428,0
0.0571,0.9834,-0.1265,-3.3569,-4.2725,-1.5259,0
0.0571,0.9834,-0.1265,-3.3569,-4.2725,-1.5259,0
0.0571,0.9834,-0.1265,-3.3569,-4.2725,-1.5259,0
0.0571,0.9834,-0.1265,-3.3569,-4.2725,-1.5259,0
0.0698,0.978,-0.1196,1.2817,-3.2959,-1.8921,0
0.0698,0.978,-0.1196,1.2817,-3.2959,-1.8921,0
0.0698,0.978,-0.1196,1.2817,-3.2959,-1.8921,0
0.0698,0.978,-0.1196,1.2817,-3.2959,-1.8921,0
0.0942,0.9663,-0.1641,3.7231,-0.4883,-1.4038,0
0.0942,0.9663,-0.1641,3.7231,-0.4883,-1.4038,0
0.0942,0.9663,-0.1641,3.7231,-0.4883,-1.4038,0
0.0942,0.9663,-0.1641,3.7231,-0.4883,-1.4038,0
0.0913,0.9644,-0.1592,-1.9531,-0.3052,-0.2441,0
0.0913,0.9644,-0.1592,-1.9531,-0.3052,-0.2441,0
0.0913,0.9644,-0.1592,-1.9531,-0.3052,-0.2441,0
0.0913,0.9644,-0.1592,-1.9531,-0.3052,-0.2441,0
0.0723,0.9746,-0.1323,-5.3101,-1.9531,-0.5493,0
0.0723,0.9746,-0.1323,-5.3101,-1.9531,-0.5493,0
0.0723,0.9746,-0.1323,-5.3101,-1.9531,-0.5493,0
0.0723,0.9746,-0.1323,-5.3101,-1.9531,-0.5493,0
0.0571,0.9829,-0.1157,-3.479,-1.0986,-2.4414,0
0.0571,0.9829,-0.1157,-3.479,-1.0986,-2.4414,0
0.0571,0.9829,-0.1157,-3.479,-1.0986,-2.4414,0
0.0571,0.9829,-0.1157,-3.479,-1.0986,-2.4414,0
0.064,0.9707,-0.1079,0.0,0.3052,-3.8452,0
0.064,0.9707,-0.1079,0.0,0.3052,-3.8452,0
0.064,0.9707,-0.1079,0.0,0.3052,-3.8452,0
0.064,0.9707,-0.1079,0.0,0.3052,-3.8452,0
0.064,0.9707,-0.1079,0.0,0.3052,-3.8452,0
0.064,0.9521,-0.1333,3.479,2.3804,-3.479,0
0.064,0.9521,-0.1333,3.479,2.3804,-3.479,0
0.064,0.9521,-0.1333,3.479,2.3804,-3.479,0
0.064,0.9521,-0.1333,3.479,2.3804,-3.479,0
0.0581,0.9551,-0.1587,2.6245,0.6104,-1.5869,0
0.0581,0.9551,-0.1587,2.6245,0.6104,-1.5869,0
0.0581,0.9551,-0.1587,2.6245,0.6104,-1.5869,0
0.0581,0.9551,-0.1587,2.6245,0.6104,-1.5869,0
0.0552,0.9878,-0.1475,-1.4648,-1.709,0.0,0
0.0552,0.9878,-0.1475,-1.4648,-1.709,0.0,0
0.0552,0.9878,-0.1475,-1.4648,-1.709,0.0,0
0.0552,0.9878,-0.1475,-1.4648,-1.709,0.0,0
0.0488,1.0083,-0.1357,-1.4648,-2.4414,0.0,0
0.0488,1.0083,-0.1357,-1.4648,-2.4414,0.0,0
0.0488,1.0083,-0.1357,-1.4648,-2.4414,0.0,0
0.0488,1.0083,-0.1357,-1.4648,-2.4414,0.0,0
0.0649,0.9995,-0.1489,0.9766,-3.2959,-1.2207,0
0.0649,0.9995,-0.1489,0.9766,-3.2959,-1.2207,0
0.0649,0.9995,-0.1489,0.9766,-3.2959,-1.2207,0
0.0649,0.9995,-0.1489,0.9766,-3.2959,-1.2207,0
0.0845,0.9844,-0.1621,1.709,-3.2349,-1.5869,0
0.0845,0.9844,-0.1621,1.709,-3.2349,-1.5869,0
0.0845,0.9844,-0.1621,1.709,-3.2349,-1.5869,0
0.0845,0.9844,-0.1621,1.709,-3.2349,-1.5869,0
0.0854,0.9976,-0.1675,1.2817,-2.6245,-1.3428,0
0.0854,0.9976,-0.1675,1.2817,-2.6245,-1.3428,0
0.0854,0.9976,-0.1675,1.2817,-2.6245,-1.3428,0
0.0854,0.9976,-0.1675,1.2817,-2.6245,-1.3428,0
0.0708,1.0103,-0.1611,-0.1221,-0.7324,-1.4038,0
0.0708,1.0103,-0.1611,-0.1221,-0.7324,-1.4038,0
0.0708,1.0103,-0.1611,-0.1221,-0.7324,-1.4038,0
0.0708,1.0103,-0.1611,-0.1221,-0.7324,-1.4038,0
0.0596,0.9985,-0.1606,-0.1831,0.7935,-1.0986,0
0.0596,0.9985,-0.1606,-0.1831,0.7935,-1.0986,0
0.0596,0.9985,-0.1606,-0.1831,0.7935,-1.0986,0
0.0596,0.9985,-0.1606,-0.1831,0.7935,-1.0986,0
0.062,0.9849,-0.1558,-1.3428,0.1221,0.0,0
0.062,0.9849,-0.1558,-1.3428,0.1221,0.0,0
0.062,0.9849,-0.1558,-1.3428,0.1221,0.0,0
0.062,0.9849,-0.1558,-1.3428,0.1221,0.0,0
0.0688,0.98,-0.1523,-1.8311,-0.3662,0.7935,0
0.0688,0.98,-0.1523,-1.8311,-0.3662,0.7935,0
0.0688,0.98,-0.1523,-1.8311,-0.3662,0.7935,0
0.0688,0.98,-0.1523,-1.8311,-0.3662,0.7935,0
0.0713,0.98,-0.1523,-1.8311,0.1831,0.8545,0
0.0713,0.98,-0.1523,-1.8311,0.1831,0.8545,0
0.0713,0.98,-0.1523,-1.8311,0.1831,0.8545,0
0.0713,0.98,-0.1523,-1.8311,0.1831,0.8545,0
0.0732,0.9731,-0.147,-3.1128,-0.6104,0.4272,0
0.0732,0.9731,-0.147,-3.1128,-0.6104,0.4272,0
0.0732,0.9731,-0.147,-3.1128,-0.6104,0.4272,0
0.0732,0.9731,-0.147,-3.1128,-0.6104,0.4272,0
0.0684,0.9761,-0.1426,-3.8452,-0.3662,0.0,0
0.0684,0.9761,-0.1426,-3.8452,-0.3662,0.0,0
0.0684,0.9761,-0.1426,-3.8452,-0.3662,0.0,0
0.0684,0.9761,-0.1426,-3.8452,-0.3662,0.0,0
0.0645,0.9761,-0.126,-3.8452,-1.9531,0.0,0
0.0645,0.9761,-0.126,-3.8452,-1.9531,0.0,0
0.0645,0.9761,-0.126,-3.8452,-1.9531,0.0,0
0.0645,0.9761,-0.126,-3.8452,-1.9531,0.0,0
0.0669,0.9688,-0.1279,-1.5259,-3.8452,0.6714,0
0.0669,0.9688,-0.1279,-1.5259,-3.8452,0.6714,0
0.0669,0.9688,-0.1279,-1.5259,-3.8452,0.6714,0
0.0669,0.9688,-0.1279,-1.5259,-3.8452,0.6714,0
0.0703,0.9688,-0.1313,-1.2817,-3.6621,0.5493,0
0.0703,0.9688,-0.1313,-1.2817,-3.6621,0.5493,0
0.0703,0.9688,-0.1313,-1.2817,-3.6621,0.5493,0
0.0703,0.9688,-0.1313,-1.2817,-3.6621,0.5493,0
0.0718,0.9731,-0.1372,-0.6104,-4.2114,0.1221,0
0.0718,0.9731,-0.1372,-0.6104,-4.2114,0.1221,0
0.0718,0.9731,-0.1372,-0.6104,-4.2114,0.1221,0
0.0718,0.9731,-0.1372,-0.6104,-4.2114,0.1221,0
0.0674,0.9854,-0.1489,0.0,-3.7842,-0.1831,0
0.0674,0.9854,-0.1489,0.0,-3.7842,-0.1831,0
0.0674,0.9854,-0.1489,0.0,-3.7842,-0.1831,0
0.0674,0.9854,-0.1489,0.0,-3.7842,-0.1831,0
0.0659,0.999,-0.1499,-0.5493,-2.3193,-0.8545,0
0.0659,0.999,-0.1499,-0.5493,-2.3193,-0.8545,0
0.0659,0.999,-0.1499,-0.5493,-2.3193,-0.8545,0
0.0659,0.999,-0.1499,-0.5493,-2.3193,-0.8545,0
0.0698,0.9941,-0.1426,-0.9155,-0.8545,-0.8545,0
0.0698,0.9941,-0.1426,-0.9155,-0.8545,-0.8545,0
0.0698,0.9941,-0.1426,-0.9155,-0.8545,-0.8545,0
0.0698,0.9941,-0.1426,-0.9155,-0.8545,-0.8545,0
0.0669,0.9771,-0.1406,-0.4883,-1.2207,-0.1831,0
0.0669,0.9771,-0.1406,-0.4883,-1.2207,-0.1831,0
0.0669,0.9771,-0.1406,-0.4883,-1.2207,-0.1831,0
0.0669,0.9771,-0.1406,-0.4883,-1.2207,-0.1831,0
0.0737,0.9756,-0.1494,0.7935,-1.8921,0.3052,0
0.0737,0.9756,-0.1494,0.7935,-1.8921,0.3052,0
0.0737,0.9756,-0.1494,0.7935,-1.8921,0.3052,0
0.0737,0.9756,-0.1494,0.7935,-1.8921,0.3052,0
0.0737,0.9893,-0.1538,1.2207,0.7324,-0.1221,0
0.0737,0.9893,-0.1538,1.2207,0.7324,-0.1221,0
0.0737,0.9893,-0.1538,1.2207,0.7324,-0.1221,0
0.0737,0.9893,-0.1538,1.2207,0.7324,-0.1221,0
0.0703,0.9951,-0.1475,-1.0376,2.0142,-0.7324,0
0.0703,0.9951,-0.1475,-1.0376,2.0142,-0.7324,0
0.0703,0.9951,-0.1475,-1.0376,2.0142,-0.7324,0
0.0703,0.9951,-0.1475,-1.0376,2.0142,-0.7324,0
0.0728,0.9878,-0.1382,-1.5259,2.1973,-0.7935,0
0.0728,0.9878,-0.1382,-1.5259,2.1973,-0.7935,0
0.0728,0.9878,-0.1382,-1.5259,2.1973,-0.7935,0
0.0728,0.9878,-0.1382,-1.5259,2.1973,-0.7935,0
0.0728,0.9878,-0.1382,-1.5259,2.1973,-0.7935,0
0.0752,0.9868,-0.1426,0.7324,1.9531,-0.3052,0
0.0752,0.9868,-0.1426,0.7324,1.9531,-0.3052,0
0.0752,0.9868,-0.1426,0.7324,1.9531,-0.3052,0
0.0752,0.9868,-0.1426,0.7324,1.9531,-0.3052,0
0.0718,1.0,-0.1567,1.77,2.8687,0.0,0
0.0718,1.0,-0.1567,1.77,2.8687,0.0,0
0.0718,1.0,-0.1567,1.77,2.8687,0.0,0
0.0718,1.0,-0.1567,1.77,2.8687,0.0,0
0.0698,1.0034,-0.1592,-0.061,3.1128,0.4883,0
0.0698,1.0034,-0.1592,-0.061,3.1128,0.4883,0
0.0698,1.0034,-0.1592,-0.061,3.1128,0.4883,0
0.0698,1.0034,-0.1592,-0.061,3.1128,0.4883,0
0.0825,0.9956,-0.1597,-2.2583,3.418,0.7935,0
0.0825,0.9956,-0.1597,-2.2583,3.418,0.7935,0
0.0825,0.9956,-0.1597,-2.2583,3.418,0.7935,0
0.0825,0.9956,-0.1597,-2.2583,3.418,0.7935,0
0.0879,0.9907,-0.146,-3.1128,4.0283,0.3052,0
0.0879,0.9907,-0.146,-3.1128,4.0283,0.3052,0
0.0879,0.9907,-0.146,-3.1128,4.0283,0.3052,0
0.0879,0.9907,-0.146,-3.1128,4.0283,0.3052,0
0.082,0.9873,-0.1367,-2.0752,4.2114,0.0,0
0.082,0.9873,-0.1367,-2.0752,4.2114,0.0,0
0.082,0.9873,-0.1367,-2.0752,4.2114,0.0,0
0.082,0.9873,-0.1367,-2.0752,4.2114,0.0,0
0.0752,0.9844,-0.1377,-2.3804,3.418,-0.1221,0
0.0752,0.9844,-0.1377,-2.3804,3.418,-0.1221,0
0.0752,0.9844,-0.1377,-2.3804,3.418,-0.1221,0
0.0752,0.9844,-0.1377,-2.3804,3.418,-0.1221,0
0.0732,0.979,-0.1289,-3.0518,1.77,0.1831,0
0.0732,0.979,-0.1289,-3.0518,1.77,0.1831,0
0.0732,0.979,-0.1289,-3.0518,1.77,0.1831,0
0.0732,0.979,-0.1289,-3.0518,1.77,0.1831,0
0.0698,0.9722,-0.1147,-1.709,-0.2441,0.7935,0
0.0698,0.9722,-0.1147,-1.709,-0.2441,0.7935,0
0.0698,0.9722,-0.1147,-1.709,-0.2441,0.7935,0
0.0698,0.9722,-0.1147,-1.709,-0.2441,0.7935,0
0.0669,0.9653,-0.1216,2.2583,0.1221,1.0376,0
0.0669,0.9653,-0.1216,2.2583,0.1221,1.0376,0
0.0669,0.9653,-0.1216,2.2583,0.1221,1.0376,0
0.0669,0.9653,-0.1216,2.2583,0.1221,1.0376,0
0.0742,0.9668,-0.1494,4.8218,0.6104,1.4038,0
0.0742,0.9668,-0.1494,4.8218,0.6104,1.4038,0
0.0742,0.9668,-0.1494,4.8218,0.6104,1.4038,0
0.0742,0.9668,-0.1494,4.8218,0.6104,1.4038,0
0.0869,0.98,-0.1626,2.6245,1.3428,1.709,0
0.0869,0.98,-0.1626,2.6245,1.3428,1.709,0
0.0869,0.98,-0.1626,2.6245,1.3428,1.709,0
0.0869,0.98,-0.1626,2.6245,1.3428,1.709,0
0.0825,0.979,-0.1509,-0.2441,1.8921,1.0986,0
0.0825,0.979,-0.1509,-0.2441,1.8921,1.0986,0
